Fon,French
mi ɖo zɔnlin ɖi wε gbɔn ayikungban lilε ji,nous marchons sur la terre labourée
ɖè fló ná - flé - flé hăn - flé ză - kpà,peler
E nɔ́ gɔ̀n azɔ̀ tɔ́n bló gbeɖé ă,Il ne manque jamais de faire son travail.
Mɛ ɔ gletanu lɛ ɖu ɖo ahwan ji,Les villageois emportèrent une victoire retentissante.
mɔ̀ akpɔ̀,avoir des ennuis
Ku do…,Salut pour…
ye nɔ blo nu bi,ils ont tout à faire
xwe ɖe wa yi ɔ un ɖo nuxwetɔ xwe ɔ tɔn ɖɔ n'ɛ wli bo nu awii ce ɖo jɔhɔn hwenu,l'an dernier j'ai demandé au propriétaire de la maison de s'occuper de mon chat pendant l'été
Fí e hwenuxo ce fó ɖó énɛ́,C’est ici que mon conte prend fin.
Káká fí tɛ́ a na yì,Jusqu’où iras-tu ?
Un ɖo agɔn ɖokpo xɔ wε.,J'achète un ananas 
boako sin nukun lɛ ta zo ɖo ahwanfun nu ahwanfuntɔ lɛ tɔn ji,les yeux de boako jetaient leur lumière sur les armes des guerriers
eo mi yi mɛ a ɖo gbemɛ fa avivɔ gbɛ,non nous n'avons pas campé parce qu'il faisait froid
Un sa tɔ̀ jɛ̀ agĕ,J’ai traversé la rivière pour aller sur l’autre rive.
Kofi ko yi,Kofi est déjà parti
e nyi nyɛ ă eyɛ wɛ,ce n'est pas moi c'est lui
e ɖò wùvɛ́ mɔ́ wɛ̀ tawùn,il a beaucoup de peine
man yi o,ne pars pas
Kutɔnu yi wε Kofi ɖe.,C’est à Cotonou que Kofi est en train d’aller
Mì ná nɔ kovɔ́,Nous resterons libres.
E su ayihɔn,Je te vois demain
é nɔ́ sí mɛ ganjí,il est très poli
đ'ayi xoxo ɔ,autrefois
Ku déwu !,Salut !
gbadanu tɛgbɛ ɔ noah tuun ɖɔ e nɔ cɛ emi,chaque soir noah savait qu'il était guetté
dŏ sìn alɔ nú mì,verse
Azinkpo mitɔn yoyo lε wa.,Mes nouveaux meubles sont là
mɔ̀ w'ɛ́ ɖè,c'est comme ça
E gbε nuɖuɖu na kanlin lε.,Il est interdit de nourrir les animaux
ta towe,ta tête
ɖè nyì tè - jŏ dŏ - winnyá,lâcher
A ɖi mɛ d'e ci kɔ nu we.,Tu as l'air exténué 
etε wutu wε mi ɖo fi,pourquoi êtes-vous ici
Vi lɛ ɖo na jɛ azɔ wa ji sin xwe tantɔn mɛ,Les enfants devaient travailler à partir de l'âge de huit ans.
É jlɔ́ dó dò wú,Il se dressa contre le mur.
ma nù amasin dín gan ó,n'abuse pas des médicaments
Nu tε nyi zingidi tobutobu enε ɔ ?,Qu'est-ce que c'est que tout ce bruit  ?
E dó hɛ̆n mì,Il m'a injurié.
un xwe yi gbè oɖabɔ̀,je m'en vais au revoir
A blo ganji ɖo un sɔ ɖo nuɖuɖu ă.,Tu fais très bien parce que je n'avais plus de nourriture ! 
Wezizá ká vún gbá yĕ,La lumière se répandit sur eux.
E dán wɔ̆ ɖà,Elle ne sait pas faire la pâte.
É gbɛ́ kpò ɖ’àzɔ̀ wá wɛ̀,Il refuse de s’arrêter de travailler.
Hwezivɔ ka syεn ă,Le soleil n'est pas fort
fofo ɖaxo,frère aîné
kɔ ɖo ye xu wε din,ils meurent de soif
sin ɔ kó fyɛ́ à,l'eau a
a na dó gbe nú tɔ́ tówé nú mì,tu salueras ton père de ma part
un ná kpɔ́wun wɛ̆nɛ̀,je donne trois cent cinquante francs
Kpɔ nyà agbanlín xwé dó hwɛkomɛ̀,Une panthère a poursuivi une antilope jusqu’à un marécage.
un ɖo asi wo kpodo vi gban,j'ai dix femmes et j'ai trente enfants
un ɖo wu lε wε,je fais ma toilette
un wá gɔ́n towe,je suis venu chez toi
é dín hwɛgbó wú,il a dépassé houègbo
e ɖò anɔ ná vì tɔ́n wɛ̀,elle allaite son enfant
kpέn - kpέn kpέn,tousser
mi nɔ̀ acé jí,tenez
"É nɔ́ zun mɛtɔ́, é nɔ zun mɛnɔ̀",Il a l’habitude d’insulter le père et la mère des gens.
e yà gbadé,il a récolté le maïs
e nɔ ylɔ́ yĕ ɖɔ̀ kristuxwedótɔ́ ɖó yĕ ɖò hɛnnu ɖokpó ɔ́ mɛ̀,on les appelle chrétiens parce qu'ils font partie d'une famille
dŏ acà,jongler
Vi ɔ zɔnlin nukɔntɔn ɔ ɖi wε.,Bébé fait ses premiers pa. 
vi ɖee ɖu nuɖuɖu ɖagbe ɔ nɔ ganji,les enfants qui mangent bien se portent bien
e kpɛ́n hú wàn,c'est plus lourd qu'une enclume
Xwejisun ɖo azan gban nukun ɖokpo,Mars a 31 jours.
E hùn nù ɔ̀ mɛ́ nú mì,Il m’a déclaré ouvertement l’affaire.
dŏ wɔ̀ ɔ́ nu kpɔ́n,goûte la pâte
nùɖúɖú wɛ̀,c'est de la nourriture
Mɛtɛfyɛ́ tɛ̀ vĭ cè,Mon enfant a un furoncle.
"E wá hŭn, ɖɔ n'í sɔ́ gbà cé wá nú mì azɔn ɖokpó tlóló","Dès qu'il sera là, dis-lui de m'apporter ma caisse aussitôt."
àɖŭ ɖú mε,avoir des élancements à la racine des dents
e vɔ́ séé,c'est absolument fini
e jó éɖé n'í,il se confia à lui
talàta wɛ nyí égbé,c'est aujourd'hui mardi
E nyi mεxo nu we azɔn wε.,Elle est deux fois plus âgée que toi
Sɔ́ ɛ́ ɖó tɔn mɛ̀,Mets-le à sa place.
Nù sɛ́n ɖò wù nú mì,J’ai des boutons sur le corps.
Tɔ́gbó yɛyɛ dó gan mì d’áfɔ̀,J’ai une crampe à la jambe (poétique).
E sá tɔ ɔ́,Il a traversé la rivière.
Bo ɖe axi bo,Mais marchande donc
Kɛkɛvi kpikpɛn ɖe lɛ jan ɖo bɔ sin ali ji,Les lourdes charrettes s’enfoncent dans les chemins boueux.
e zé mí yí jó,il m'a trahi
andré sin ɖie,andré voici de l'eau
axijijɛ,jour du marché
un kú ta dín,je n'ai pas de chance du tout
yĕ ɖò yiyi wɛ̀ sɛ́ɛ́ sɛ́ɛ́,ils se promènent à pas lent
a no sa nu axivεxivε,tu vends trop cher
Bɔ ye nɔ kple ɖo finɛ,Et elles se rassemblent là.
Dan ce ɖesu,Mon serpent aussi.
bo kpɛn nu hihɛn,et il est lourd à porter
nyì hwăn dŏ mε,lancer un objet à quelqu'un
vi kpεvi ɔ dɔ amlɔ e nyɔ kpikpɔn,bébé est endormi ca fait plaisir de le regarder
Wulεkpa lε ɖo gbεnde ɔ mε.,Les toilettes sont dans le hall
Gbadé hán dó mì,Je manque de maïs.
nɔ cè gŭdò,à l'insu de ma mère
Agbaza mɛ tɔ́n cí kpɔ́nnɔ́kpɔ́nnɔ́,Son corps est dodu.
"Din ɔ, mi wlan nu.","Maintenant, prenez des notes"
Tɔ́gbó tɔ́gbó,Les grands ancêtres
nu ji ɔ nɔ te o mi hɛn ɔ mi na tɔn,si la pluie s'arrête vous serez autorisés à vous déplacer
yovo dokɔ lɛ vivi tawun,les gâteaux sont appétissants
sí - hɔ̀n yì - zùn,échapper
sɔ kε mi un wɔn nyikɔ towe,excuse
sέ wú ɖὲ wú,grâce à dieu et à sa bénédiction
gannú'fúyɛ́ wɛ̀,c'est un récipient en métal sans valeur
e nɔ kɛ́ɖɛ́ nùsúnnú,on épaissit la sauce
Mɛ gijagija wɛ̀,C’est un géant.
flí nŭ dó mε,céder une chose à quelqu'un sans bénéfice
ayihɔ́ngbe ayihɔ́ngbé ɔ́ yè nɔ́ kplé ɖò sinsɛn xɔ mɛ̀,chaque jour régulièrement ils se réunissent dans le temple
Un ba na nɔ tεn tɔn mε a.,Je n’aimerais pas être à sa place
sinnugblà - xò bò,soif
We ɖ’e jí,Il y en a deux de trop.
go élɔ́ hɛ̀n ahàn,cette bouteille contient de l'alcool
Wanyiyi nuxixa wε bɔ e nɔ xa azan bi gbe,L'amour est un poème qui se récite chaque jour.
Nya ɖu axɔ bɔ vodun tɔn wa . E ɖɔ,E kpe axɔ sebla mɔ ɖe wu a'
é ɖò títáfú mi wɛ̀,il abuse de vous
un kpe wu bo gbe a,je n'ai pas pu dire non
é ɖò xɔ̀ hɛ̀nnu,il est à la porte de la case
mɛ kpa a ɖe,a côté de qui es
yé yi 'concert',elles allaient au concert
A jí wŭ dó mì,Tu me parais extraordinaire.
nɛ gbɔn  yi,pourquoi  est-il parti
é hwlán anɔkwín,elle a des seins qui commencent à pousser
Ayi ton gba dŏ,II s'est affolé
bo nɔ kupe bo nɔ na,et on coupe et on donne
Xɔmɛsi ɔ nya zanjivɔ lɛ bo tɛ ye ɖo zunkan ɔ ji,La femme de ménage lave les draps et les étale sur l’herbe.
Kú dó gbadà,Salut pour le soir.
E nɔ wa nuti keze ɔ mε a.,Il ne fait rien de la journée 
Fifá ní nɔ̀ mi mɛ̀ !,Que la paix soit avec vous !
ɖù mɛ jĭ ɖò wezùn mɛ̀,battre quelqu’un à la course
nunɔmɛ tɛ́ é ɖó,quelle forme a
é tuwùn wèmá tɔ́n dó ta mɛ̀,il sait sa leçon par coeur
ɖŏ azăn,fixer un jour
E nyi nyε a,Ce n'est pas moi
Dotoxwe ɔ ɖo azɔmɛxwe ɔ kpodo amisa o kpo sin tɛntin,L'hôpital est entre l'école et l'église.
é ɖɔ́ nú mí ɖɔ̀ émí ná wá é ká sɔ́ wá ă,il m'a dit qu'il viendrait mais il n'est pas venu
é nɔ́ flín sɔgudó ă,il n'est pas reconnaissant
etɛ wutu e ɖo na si mɛ,pourquoi faut
Vi ɔ ko nu do mɛjitɔ tɔn lɛ bo kɛ alɔ nu ye,Le bébé sourit à ses parents et leur tend les bras.
hwebinu ɔ un nɔ ɖo ganji a,je suis toujours de mauvaise humeur
ablé lɔ̆nlɔ̆n,ah que c'est beau
kàn nùɖé kpɔ́n,chercher à connaître le fond d'une affaire
Jɔhon nɔ sun ama lɛ bo nɔ ya ye ɖo ali ji,Le vent arrache les feuilles et les chasse dans le chemin.
e nyɔ mi bo ma sin xomε o,d'accord ne vous énervez pas
xomɛ kɛɖɛ́ wɛ̀ ɖò sinsin mi wɛ̀,je n'ai que de la colère au coeur
"É kó kpá wé à ? - Éŏ, un kpo ɖo fí, ɖo cɔ́kɔ́tɔ́denu","As-tu déjà eu satisfaction ? - Non, je suis encore ici à attendre."
un ɖo wezunkan wɛ ɖo ji mɛ,je cours sous la pluie
hwetɛ́nu gan tantɔn mɛ sin hun ɔ na wa kutɔnu,quand est
Dan sɔ́ nú mì,Un serpent m’a piqué.
sunzan nabí mɛ̀ mĭ ɖè,en quel mois sommes
e wá bà jonɔ mĭ bó ɖò kpɔ́ xá mĭ,il vient nous visiter et demeurer avec nous
"Mi ze wema mitɔn, nuwlannu kpodo wemasunsunnu kpo","Prenez votre cahier de brouillon, un crayon et une gomme ."
fítɛ́ agbankàn ce ɖè,où est le cadeau que tu m'as rapporté de ton voyage
nufló do tan,la lèvre inférieure
Zănzăn tɛɛ̀n,De grand matin
Mε wε kpɔn ?,Qui est-ce qui a regardé ?
sɔ́ nyì,jeter nonchalamment
Kutɔnu yi wε Kofi ɖe.,C’est à Cotonou que Kofi est en train d’aller 
Un kplɔn aji i,Je lui ai appris le jeu aji
Etɛ wutu a ɖu atinsinsɛn enɛ ɔ ?,Pourquoi as-tu mangé ce fruit ?
Bo nɔ wa sa nu yetɔn kpayɔkpayɔ lɛ,Et vendent leurs choses piratées
akwέ jὲ nŭ bì jí,les prix augmentent
Nukplɔnmɛtɔ ɔ dɔn to nu xoɖɔtɔ lɛ,Le professeur punit les bavards.
Mi ze gbeta ɖɔ miɖee lε ɖesu na yi.,Nous avons décidé d'y aller aussi
A nɔ lεn blewun,Tu calcules vite
xlέ alì,guider
mi nɔ ɖo hun,nous prenons la voiture
kuɖo jigbézǎn,joyeux anniversaire
tɔ̀ awì,faire faire un habit
E gbɛ agɔnde lɛ bo bɛ yi aximɛ,Les ananas furent cueillis et portés au marché.
un blŏ é ká fá dó mì ă,j'y suis arrivé péniblement
E ɖiɖɔ lilɛlilɛ,Elle s'en va voltiger.
Xɔmɛsi ɔ nya zanjivɔ lɛ,La femme de ménage lave les draps.
mɛɖé túwun sɔ e jàwè ɔ́ ă,personne ne sait que sera demain
é nɔ́ wà nŭ ma lɛn kpɔ́n,il agit sans contrôle
Yĕ ny’ahwan hoò bo wá,Ils sont venus en masse.
etɛ́ ɖɔ a ɖè,que veux
Mi sixu blo azɔgo ce ɖo a ?,Est-ce que vous pouvez réparer mon pot d'échappement ?
Mi na ɔ ɖi ɖɔ ahan e nu mu,On aurait pu croire qu'il était ivre .
E kpa mì,Cela m'a réussi.
Un ɖo xɔntɔn ce lɛ gɔn,J'étais avec mes amis.
E ɖúɖɔ́ alɔ̀,Il s’est léché les doigts.
E mɔ̀ azɔ̀ ná wà ă,Il n'a pas trouvé de travail à faire.
jὲ àcɔ,sorti en belle tenue
Wèmá ɔ́ nyí amì,Le papier s’est imbibé d’huile.
nɔvi sunu,cher frère
Hwlɛ́n mí gán,Sauve-moi.
Adiì !,Mais hélas !
hŭ jă,cérémonie que l'on fait chaque année à la récolte du mil
nyikɔ nɛ ɔ sín tinmɛ wɛ nyí,ce nom se traduit par
un xwe kun d'é,je lui ai marqué ma désapprobation
É ɖokpó jɛ́n un mɔ ɖò fínɛ́,C’est lui seul que j’ai vu là.
Azan ɖevo gbe ɔ,La semaine suivante.
E júnjɔ́n ayĭ hɛkɛɛ,Il s'assit lourdement par terre.
mi na yi kpɔn kponɔ lε sin dindin,nous irons voir défiler les soldats
Azɔ yetɔn nyi wiwlan ganji.,Leurs devoirs sont bien écrits 
Blo xwe ɔ,Arranger la maison
Etε wutu e na jlo ?,Pourquoi le vouloir ?
bà sìn - syɔ́,se remplir d'eau
sún dĕ,détacher les noix d'un régime de palmier
nu tɛ a lin ɖe wu,que penses-tu de ça
adohùhù,effroi
Sun élɔ́ mɛ̀,Dans le courant de ce mois.
kέn jὲ mε wŭ - mɔ̀ xò,devenir enceinte
E nɔ nu vɛɛn gbeɖe ă,Il ne boit jamais de vin.
mɔ̀ jɛ́n wɛ̀,c'est absolument cela
A ɖo azɔn gbɔ n'ɛ wɛ,Tu le guéris.
"Vi ɔ vun awu tɔn lɛ, nɔ tɔn wamamɔnɔ ɔ ɖo ye tɔ wɛ","L’enfant déchire ses vêtements, la pauvre maman les raccommode."
E vɔ lɛ bɛ ahan nunu,Il s’est remis à boire.
Co hwε ɖe.,Attention 
e fá có bó nú mĭ mɔ̀ ɛ̀ ă,il ne nous a pas été facile de le trouver
mε towe lέ,tes parents
jinukún kó myá gò ɖò gle mɛ̀,le grain est déjà mûr dans le champ
jan ɖo 'copie' tɔn blo wε,jean fait sa copie
"Hwi, nù dídá élɔ́ !","Toi, sale type !"
atin lɛ ɖo yeɖee bu wɛ kpodo ama kpo,les arbres se couvrent de feuilles
Azan tɛgbe wɛ yi egbe ?,C'est quel jour aujourd’hui ?
ɖe ɔ,l'autre
Mɔ ji e nɔ azɔn mɔ kpan ɖo gbe ɖokpo.,C'était ainsi plusieurs fois par jour… 
"Un ɖo ahanta lɛ ""whisky, gin"" alo yovozɛn sin amɔ un ɖo ""champagne"",  ă !","J'ai du whisky, du gin ou du jus d'orange, pas de champagne, désolé !"
kanwe wo,90
Hwezivɔ mɛ mi,Je suis brûlé par le soleil.
Xomɛ sin ì,Il est en colère.
Bù wèmá dó è,Couvre-le (livre) d’un papier.
adànwìwá,grondements
E nyɔ́ nú a na wá dandàn,Il faut absolument que tu viennes.
We ɔ syεn bo vivi,La danse est vive et joyeuse.
Kpákpá ɔ́ xò awa vava bo yì,Le canard a battu des ailes bruyamment et est parti.
atin zunkanmɛ tɔn lɛ,les arbres de la forêt
tɛnkpɔn vɛ wu ă,l'examen est facile
Sɛ wu xwe na !,Abrège !
"Hweɖebunu ɖee e wa ɔ, e bɔ na mi akwɛ","Toutes les fois qu'il vient, il nous donne de l'argent."
to ɔ mɛ́nú lɛ́ bì wá kplé ɖò fínɛ́,tous les habitants se réunirent là
Ayunmlimli enɛ mya,Ce ballon est rouge.
Daagbo ɖo gbigbɔ jε wε ɖo azinkpo tɔn mε.,Grand-père se repose dans son fauteuil 
dŏ kεnklέὲn,demander grâce
e nyɔ mi to wema mitɔn lɛ bo gosin xo ɔ mɛ,bien rangez vos cahiers et quittez la salle maintenant
nu tε nyi zingidi tobutobu enε ɔ,qu'est
ayisɔnmɔ,dernièrement
Xwle axi,Faire les courses au marché.
Un do gbe nu we,Je te salue
akwεnkwεn - awlìn - bibεtὲn - hwlágwè - nùglɔ́ - wù,cachette
kpɔwun ko,cinq cent francs vingt
byɔ̆ lεgεdε mὲ,s'embarquer dans une affaire pas claire
mawù ɖó gbɛtɔ́ b'ɛ́ cí é ɖésú ɖɔ́hùn,dieu a créé l'homme à son image
é dó hwɛ agɔ̀,il a fait un faux jugement
Azɔmεvi ɖo nukplɔnmε xa wε.,L’élève répète sa leçon
Hwetεnu a na yi azɔmε ?,Quand iras-tu a l’école ?
é cí jĭ cè,il m'a retenu
Mi nɔ blo ganji.,Faites le bien 
xwè tέ,être méthodique
E jɛ gle ɖo fi,II a établi son champ ici
mĭ wà cyɔ́nú daà tɔ̀n,nous avons fait les funérailles du chef de famille
Wù yá mì ă,Je ne me sens pas très bien.
Azɔ mɛ nɔ hun hun,L’école ouvre.
awu towe ɔ ɖagbe wɛ,ton vêtement est de qualité
hlakpakpà - kákáɖáká - wèbésúkpaɖà - wèsúkpaɖà - wètésúkpaɖà,blatte
Wegɔ ɔ,Deuxième
Hunhun go ɔ cobɔ ma ahan ɔ.,Agite la bouteille avant de servir.
jĭ ɖè atán,il a tombé quelques gouttes
nyɛ wɛ wà mɔ̆ cɔcɔ̀,c'est moi bien sûr qui ai fait cela
sún élɔ́ mɛ́ ɔ́ azan tɛ́ gbe mi na wá,quel jour de ce mois viendrez
nɛ̆ a nɔ nyĭ,quel est ton nom
é sù gbe ɖé,au revoir
É gbɔ́jɛ́ d’álɔ tè,Il a fini de se reposer.
akpagbé - akpagblegbé,nom donné à un enterrement provisoire
Sín gbe nɛ́ gbé ɔ́,Depuis ce jour-là.
Un ylɔ ɖo gan wo kpo ceju wo gblamε,J'ai appelé à environ dix heures moins dix.
E ku,Il est mort
awu ce,mon habit
ali ní nyɔ́ nú wè,bon voyage
E ɖe kwin nu timati lε bo ja ye.,Les tomates sont épépinées et concassées
E nɔ́ kpé wú ă,C'est un incapable.
Alɔ tɔn tɛ̀,Sa main est enflée.
cukú nɔ́ lun dɛ̀,le chien bave
Fɔ̀ awu ɖò kàn jí,Ramasse le linge sur la corde.
un ɖò jiɖe dó wŭ tɔ̀n ă,je ne m'y fie pas
un ná yì bà wè kpɔ́n,j'irai te rendre visite
e bɛ́ amăgà,il a ramassé des mangues par terre
vi kpɛvi ɖe wɛ gble wu eye ɖe,c'est un enfant qui s'est blessé
ɛɛn un sa ama ce lɛ bi,oui j'ai vendu tous mes légumes
Vi tɔn wε,C'est son enfant
aɖi,le savon
go ɔ́ gba cɛwùn,la bouteille s'est cassée bruyammant en mille morceaux
Kpεn kpεn,Tousser (de la toux)
kponɔ lɛ́ kán kwɛ́ nú wé à,les gendarmes t'ont
mi xɔ wema,nous avons acheté un livre
E kanbyɔ Ahwlikpɔnuwa ɖɔ aximε wε xwe aji.,On demande à la princesse Ahwlikponuwa si elle se rend au marché
a na hεn xasun ɔ,tu portes le panier
Nabí wɛ́ nyí gbadé ɔ́ ?,Combien vaut le maïs ?
yè yí jɛ̀ agban ɖò kútɔ́nú,ils sont allés s'établir à cotonou
adi hu mì,j'ai des ennuis
gŭ è mà nú mí ɔ́ wɛ̀,c'est ma part d'héritage
Etε a ɖu hwemε ?,Qu’as-tu mangé cette après-midi ?
Ama yɔyɔ lε nɔ nyi amamu yε,Les jeunes feuilles sont d’un vert clair.
Lanme kú mì,Je n’en puis plus.
"Flɛ́sɛ́lì, flɛtɛ́lì",Ouverture de fenêtre
Kofi nɔ w'azɔ tɛgbɛ,Kofi travaille toujours.
"Eo, mi sa akpăn nú mi","Non, vendez-moi de l'akassa."
Sun wli hwe,Il y a une éclipse de soleil
mi na bló,vous ferez
a kun do ɖo fitε ɖo gle ɔ mε,tu as creusé un fossé dans quelle partie du champ
vì ɔ̀ nɔ́ sísɔ́ avivɔ kikiki,l'enfant tremble de fièvre
E gbɔn dɔn,Il est passé par là-bas.
é gbɔ́jɛ́ ɖ'álɔ té,il a terminé son congé
un gbɛ́ xó tɔ̀n,je n'accepte pas ce qu'il a dit
gbìgbá - xɔgbigba,démolition
É gbɔ̀n jĭ cè,Il est passé par moi.
Nutε mi na nu ?,Qu'est-ce que vous voulez boire ? 
Lan mu,Viande crue.
Yĕ ɖu wè lɛ̌ lɛ dó vodún,Ils dansèrent autour du vodoun.
Mi yi kwɛ a sin vodungbegblamɛ atɔɔn ɖie,Nous ne sommes pas payés depuis cinq semaines.
E jɛ adan gblɔn nu kɛntɔ tɔn ji,II se mit à proférer des menaces contre son ennemi
ɖò yìyá jí,incessamment
Lĕe a jló gbɔ́n lé,Comme il te plaira.
Nukún tɔ́n mɛ́ wá j’àyĭ,Il s’est calmé.
xwe ce sin aza,le toit de la maison
dăn wŭ kpɛɖé,remue
mi yì ba dò nú vĭ ɔ céɖécéɖé,allez
Dan ɔ ɖi ga gblɔlɔɔ,Le serpent est très très long
Un vo ɖo ayi mɛ a,Je suis inquiet.
nŭ a blo ɔ́ é jɛ́ xá ɖɔ̀ a na yí ajɔ̀,ce que tu as fait mérite une récompense
kàn - zogbɛ́nkàn,mèche
To ce ɖo jɛ,Je suis aux aguets
Xɔ gban ɔ amlɔ nɔ gban ă.,Si la case est tordue le sommeil ne l'est pas.
Un se xó towe,C'est entendu.
É nɔ́ kpɔ́n wunvɔ́ mì,Il me regarde de travers.
káká tɔn din ɔ́,jusque
xɔgbonú,porto
yì lanmε nú mε,impressionner quelqu'un
sɔ́ afɔ ɖagbe,fais un bon voyage
"Énɛ́ ɔ́ wútú ɔ́ a na húzú alăga, gbèjɛ́gbéjɛ́ ɖò ayikúngban jí","C’est pourquoi tu seras vagabond, fugitif sur la terre."
Gbɛtɔ́ sín ná !,Que d’hommes !
E hεn ɔ e na mɔ gbɔn flεsεε nu.,On peut voir de la fenêtre
a blò ɔ́ gɛ́gɛ́ a lɛ̆ gɔ̀n bló ɔ́ gɛ́gɛ́,tant pis si tu le fais ou pas
a kɔn nyì mì jí à,tu nous es venu
Mi na vɔ blo.,Vous en reprendrez ?
Un ɖo akwɛ ɖayi,J'avais de l'argent
gbɔ̆nvɛ mɛ mì,une guêpe m'a piqué
Fínɛ́ wɛ̀ wɛ̀ é kó ɖ'é ɔ́,Si seulement il était là.
tɔ ɔ tó,au bord du fleuve
Yì élɔ́ kpéná,Prends ceci en plus.
Wù yá nyaví élɔ́ dín,Cet enfant est très vif.
nu mawu na do ace mi ji,afin que dieu vous bénisse
Etɛ́ wú a wă ?,Pourquoi es-tu venu ?
a nɔ kú xó gàn,tu parles trop à tort et à travers
zɔ̆n mɛ gănnù,forcer quelqu'un à
e gɔ́ tún flá,c'est plein à déborder
Ye nɔ nɔ kplekple mε ɖo zun ɖaxo mε ɖo agun ɖe lε tεntin,"Ils habitent par groupes dans la forêt, entre les autres tribus."
hwezɔ̀n - hwezivɔ́ - hwezivɔ́zɔ̀n,insolation
azɔn lɛ́ fɔ́n,il a rechuté
E vlɔ́n awà,Il a déplié les bras.
Zănzăn tɛɛ̀n,De bon matin.
É fɛ́n logó mɛ̀,Il a la hanche abîmée.
Hwezivɔ glagla ɖe wɛ hun egbe,II fait un soleil très fort aujourd'hui
Hlɔ̀nhlɔ́n ce vɔ̀,Je suis à bout de force.
Mε ɖe ɖo akpa ce ɔ ɖo folo ɖo flεsεε tɔn nu,Mon voisin a des fleurs à sa fenêtre .
kɛ́nkún ɔ́ cí botoò,la goyave est bien grosse
Mi na yi,Nous irons
un tuun mɛti ɖo amerique du nord kpodo australie kpo a,je ne connais personne vivant en amérique du nord ou en australie
Wùtú cé bì zún gŏ,Tout mon corps a des boutons.
é yi jɛsú,il est mort
akɔn,poitrine
Nù cé vɛ́ wŭ tɔ̀n,Je lui ai déplu.
A na nù kunkùn wŏ,Tu boiras dix gouttes.
É wá káká fí,Il est venu jusqu’ici.
fí è un yì din ɔ́ un xò wuntá,j'ai manqué l'affaire qui m'a fait partir là
Mɛ̀ ká ɖó jló tɔ̀n ?,Qui est volontaire ?
blè - glíwún - klaxla - kplákplá - kpláwún - kwiwùn - léwún - léwúnléwún - tɔ kokló - tlóló - véwún - víín - vwíín - wláwlá - xéwún - xlówún - xwawùn - yawùn,vite
Un go sin Agbomɛ,Je suis originaire d'Abomey.
Avivɔ gbɛ,II fait froid
susù ní tíin nú tɔ́ lɔ́ nú vì lɔ́ kpódó yɛsinsɛn lɔ́ kpán,gloire soit au père au fils et au saint esprit
un ɖo ta nyinyɔ,j'ai de la chance
kɔfu,verre
E ɖo gbesɔ,II y a une réunion
a lɛ̆ kɔ́ ná,te voilà de retour
lee e nɔ nyi sɛn towe gbɔn ɖo sɛxwe ɔ,que la façon dont tes lois sont respectées au ciel
un ɖò wàyìwáyí lɛ́ kpɔ́n wɛ̀,je regarde ceux qui vont et viennent
kisɛ́kísɛ́ nɔ́ vé xwà,la marque est difficile à arracher
aɖimɛví cé lɛ́ mì,mes petits enfants
àkwέzánnyidotɔ́ - àkwέzántɔ́ - nùzàntɔ́,dépensier
Koklo e ɖo han akɔkikɔ wε,Il chante
E gɔn xwe,II s'est absenté de la maison
e ɖó ayi ɖagbe,il est bon
Đè nùkún ɖagbe ɖó vo nú nyanya ɔ́,Sépare le bon grain du mauvais.
Un ɖi nu a jlo nugbo na tuun a,Je ne pense pas que tu veuilles vraiment le savoir.
Nyɛ ɔ́ un ɖó jlŏ tɔ̀n ă,"Moi, je ne voulais pas."
xò hŭn,jouer du tambour
Ayi wɛ nɔ dó ayikún,C’est le coeur qui plante le haricot.
gbadanu tɛgbɛ ɔ e nɔ do hwenuxo nu vi lɛ bo nɔ yi zan ji,chaque soir il raconte une histoire aux enfants et puis il va au lit
é hú aɖɔ̆ dó zan jí,il a uriné sur la natte
mlă mɛ wŭ - mlă mε wŭ,manquer de respect à quelqu'un
un ɖó agban cè àgbàgbáɖá,j'ai placé ma charge sur ma tête sans la tenir en la portant en équilibre
w'azɔ bo ba do mɔ kwɛ,a travaillé pour avoir de l'argent
Winnyawínnyá mɛ̀,Au temps de la jeunesse.
Mi kpɔn ɖɔ penε mitɔn ɖo tεn.,Vérifiez que vous n'avez pas un pneu à plat
